mes_ano,uf,preco_medio_etanol_hidratado,preco_medio_gasolina_c,volume_etanol_hidratado_m3,volume_gasolina_c_m3,uf_nome,regiao,volume_total_analisado_m3,participacao_etanol,razao_etanol_gasolina,preco_relativo_etanol_gasolina,variacao_preco_gasolina_c,variacao_volume_gasolina_c,ano,mes
2021-01-01,AC,4.051,5.229,682.353,10958.7,ACRE,NORTE,11641.053,0.05861608911152625,0.06226587095184647,0.7747179192962326,0.03401226023333992,-0.20745342513307108,2021,1
2021-02-01,AC,4.192,5.52,688.676,9112.5,ACRE,NORTE,9801.176,0.07026462946895352,0.07557486968449932,0.7594202898550726,0.055651176133103775,-0.16846888773303403,2021,2
2021-03-01,AC,4.869,6.121,783.804,10632.7,ACRE,NORTE,11416.504,0.06865534317686044,0.07371636555155323,0.7954582584545008,0.10887681159420315,0.16682578875171483,2021,3
2021-04-01,AC,5.101,6.228,661.899,10251.0,ACRE,NORTE,10912.899,0.060652902588029085,0.06456921275973075,0.8190430314707772,0.017480803790230315,-0.035898689890620505,2021,4
2021-05-01,AC,5.158,6.319,662.783,11422.6,ACRE,NORTE,12085.383,0.05484170423063961,0.05802382995114948,0.8162683968982435,0.014611432241490085,0.11429128865476534,2021,5
2021-06-01,AC,5.464,6.361,578.337,11712.8,ACRE,NORTE,12291.136999999999,0.04705317335572779,0.04937649409193361,0.8589844364093697,0.0066466213008387065,0.025405774517185176,2021,6
2021-07-01,AC,5.477,6.381,504.325,12518.0,ACRE,NORTE,13022.325,0.03872772335201279,0.04028798530116632,0.8583294154521235,0.003144159723313944,0.06874530428249437,2021,7
2021-08-01,AC,5.517,6.431,536.741,12655.5,ACRE,NORTE,13192.241,0.040686112389850974,0.04241167871676346,0.8578759135437724,0.007835762419683423,0.010984182776801354,2021,8
2021-09-01,AC,5.683,6.493,476.773,12676.5,ACRE,NORTE,13153.273,0.03624747999984491,0.03761077584506765,0.8752502695210226,0.009640802363551693,0.0016593575915608838,2021,9
2021-10-01,AC,5.771,6.667,510.314,12208.9,ACRE,NORTE,12719.214,0.04012150436339856,0.04179852402755367,0.8656067196640168,0.026798090251039408,-0.03688715339407567,2021,10
2021-11-01,AC,6.088,7.072,459.814,11508.7,ACRE,NORTE,11968.514000000001,0.03841863743485616,0.039953600319758094,0.8608597285067874,0.06074696265186752,-0.05735160415762264,2021,11
2021-12-01,AC,6.173,7.044,424.719,12910.2,ACRE,NORTE,13334.919,0.031850137222430824,0.0328979411628015,0.8763486655309484,-0.0039592760180996445,0.12177743793825546,2021,12
2022-01-01,AC,6.128,7.031,375.303,10432.2,ACRE,NORTE,10807.503,0.03472615274777162,0.03597544142175188,0.8715687668894895,-0.0018455423055082631,-0.19194125575126642,2022,1
2022-02-01,AC,6.069,7.022,395.355,10512.4,ACRE,NORTE,10907.755,0.03624531354068734,0.03760844336212473,0.8642836798632868,-0.0012800455127293109,0.0076877360480052115,2022,2
2022-03-01,AC,6.001,7.327,555.801,11078.2,ACRE,NORTE,11634.001,0.04777384839489012,0.05017069560036829,0.8190255220417634,0.043434918826545044,0.05382215288611558,2022,3
2022-04-01,AC,6.083,7.532,587.759,11139.7,ACRE,NORTE,11727.459,0.05011818843280543,0.05276255195382281,0.8076208178438662,0.027978708884946135,0.005551443375277465,2022,4
2022-05-01,AC,6.15,7.61,593.283,12329.7,ACRE,NORTE,12922.983,0.04590913723247953,0.048118202389352535,0.8081471747700394,0.010355815188529016,0.10682513891756518,2022,5
2022-06-01,AC,6.13,7.64,620.728,11545.3,ACRE,NORTE,12166.027999999998,0.051021418001010684,0.05376456220280114,0.8023560209424084,0.003942181340341522,-0.06361874173743087,2022,6
2022-07-01,AC,5.57,6.41,518.342,12673.9,ACRE,NORTE,13192.242,0.03929142597596375,0.04089838171360039,0.8689547581903276,-0.16099476439790572,0.09775406442448453,2022,7
2022-08-01,AC,5.0,5.88,455.21,14050.8,ACRE,NORTE,14506.009999999998,0.03138078630857141,0.032397443561932415,0.8503401360544218,-0.08268330733229334,0.10864059208294208,2022,8
2022-09-01,AC,4.81,5.68,412.763,14672.0,ACRE,NORTE,15084.763,0.02736290918193411,0.028132701744820063,0.8468309859154929,-0.03401360544217691,0.044211005779030366,2022,9
2022-10-01,AC,4.21,5.3,475.329,13393.65,ACRE,NORTE,13868.979,0.03427281849658868,0.03548913104344223,0.7943396226415095,-0.06690140845070425,-0.08712854416575788,2022,10
2022-11-01,AC,4.27,5.36,644.395,13408.0,ACRE,NORTE,14052.395,0.04585659597527681,0.04806048627684964,0.796641791044776,0.01132075471698113,0.0010714032395948703,2022,11
2022-12-01,AC,4.31,5.38,467.287,14114.0,ACRE,NORTE,14581.287,0.03204703398266559,0.03310804874592603,0.8011152416356877,0.003731343283581934,0.05265513126491639,2022,12
