atributo,importancia,importancia_percentual
preco_medio_etanol_hidratado,5439.0,15.568468055873597
participacao_etanol,4618.0,13.218456606365928
variacao_volume_gasolina_c,4428.0,12.674604991985344
volume_etanol_hidratado_m3,3902.0,11.168994733226471
volume_gasolina_c_m3,3836.0,10.980077856652164
volume_total_analisado_m3,3351.0,9.591825051522784
mes,2763.0,7.908747423860774
ano,2399.0,6.866842225784291
razao_etanol_gasolina,2113.0,6.048202427295626
regiao_NORDESTE,302.0,0.8644378291733457
uf_ES,166.0,0.4751545683535608
uf_RN,165.0,0.4722921914357683
uf_RJ,153.0,0.43794366842225785
uf_DF,134.0,0.3835585069841997
uf_RO,130.0,0.37210899931302954
uf_AP,117.0,0.3348980993817266
uf_AL,113.0,0.32344859171055645
uf_AC,94.0,0.2690634302724983
uf_BA,92.0,0.2633386764369132
uf_PI,92.0,0.2633386764369132
regiao_NORTE,92.0,0.2633386764369132
regiao_CENTRO OESTE,59.0,0.16888023814975955
uf_MA,46.0,0.1316693382184566
uf_PR,44.0,0.12594458438287154
uf_PB,42.0,0.12021983054728647
uf_MS,40.0,0.11449507671170141
uf_MG,28.0,0.08014655369819099
regiao_SUL,27.0,0.07728417678039845
uf_CE,23.0,0.0658346691092283
uf_AM,23.0,0.0658346691092283
uf_PE,23.0,0.0658346691092283
regiao_SUDESTE,21.0,0.06010991527364323
uf_SE,16.0,0.04579803068468056
uf_GO,15.0,0.04293565376688802
uf_PA,8.0,0.02289901534234028
uf_MT,5.0,0.014311884588962676
uf_SC,5.0,0.014311884588962676
uf_TO,5.0,0.014311884588962676
uf_SP,5.0,0.014311884588962676
uf_RS,2.0,0.00572475383558507
uf_RR,0.0,0.0
