atributo,importancia,importancia_percentual
preco_medio_etanol_hidratado,4128.0,15.190991388827554
participacao_etanol,3520.0,12.953558548612646
volume_etanol_hidratado_m3,2973.0,10.940604990064031
variacao_volume_gasolina_c,2972.0,10.936925001839992
volume_gasolina_c_m3,2576.0,9.479649665121071
mes,2303.0,8.475012879958783
ano,2134.0,7.853094870096415
volume_total_analisado_m3,2066.0,7.602855670861854
razao_etanol_gasolina,1446.0,5.32126297195849
regiao_NORDESTE,334.0,1.229116066828586
uf_RJ,248.0,0.9126370795613452
uf_RO,218.0,0.802237432840215
