mes_ano,uf,regiao,preco_medio_gasolina_c,previsao_lightautoml,erro,erro_absoluto
2022-07-01,AP,NORTE,5.32,5.7379565,-0.4179565238952634,0.4179565238952634
2025-12-01,RJ,SUDESTE,6.11,6.4150257,-0.30502571105957,0.30502571105957
2021-12-01,GO,CENTRO OESTE,6.925,6.624851,0.3001487731933592,0.3001487731933592
2022-05-01,AL,NORDESTE,7.13,7.4277577,-0.29775774002075206,0.29775774002075206
2022-11-01,RN,NORDESTE,5.43,5.135237,0.2947627830505368,0.2947627830505368
2021-07-01,PI,NORDESTE,6.212,5.935981,0.2760192031860349,0.2760192031860349
2024-11-01,RO,NORTE,7.16,6.8842907,0.27570930480957045,0.27570930480957045
2023-03-01,RR,NORTE,6.08,5.818548,0.26145179748535163,0.26145179748535163
2022-03-01,MG,SUDESTE,7.278,7.016931,0.2610689430236812,0.2610689430236812
2021-09-01,AL,NORDESTE,6.138,6.3927383,-0.25473834228515635,0.25473834228515635
2022-02-01,RS,SUL,6.352,6.605209,-0.253208873748779,0.253208873748779
2025-06-01,AL,NORDESTE,6.23,6.471033,-0.24103309631347614,0.24103309631347614
2023-08-01,CE,NORDESTE,6.14,5.9001393,0.23986066818237273,0.23986066818237273
2022-07-01,RS,SUL,5.95,6.1870413,-0.23704128265380842,0.23704128265380842
2023-11-01,AL,NORDESTE,5.78,5.5492697,0.23073032379150415,0.23073032379150415
2024-10-01,RO,NORTE,7.05,6.819294,0.2307060241699217,0.2307060241699217
2022-05-01,PE,NORDESTE,7.17,7.3977504,-0.22775037765502937,0.22775037765502937
2022-03-01,RJ,SUDESTE,7.517,7.289286,0.22771386337280308,0.22771386337280308
2024-11-01,SE,NORDESTE,6.08,6.3039236,-0.22392360687255852,0.22392360687255852
2021-02-01,SP,SUDESTE,4.639,4.8627086,-0.2237085685729978,0.2237085685729978
2021-09-01,SP,SUDESTE,5.755,5.9751477,-0.22014772415161143,0.22014772415161143
2023-04-01,SE,NORDESTE,5.39,5.6027284,-0.21272836685180696,0.21272836685180696
2021-06-01,PI,NORDESTE,5.997,5.785906,0.21109416198730457,0.21109416198730457
2023-06-01,AC,NORTE,6.04,6.246541,-0.2065410232543945,0.2065410232543945
2023-02-01,RS,SUL,4.97,5.175669,-0.20566919326782251,0.20566919326782251
2023-04-01,MG,SUDESTE,5.28,5.483427,-0.20342704772949194,0.20342704772949194
2023-09-01,CE,NORDESTE,6.09,5.8904705,0.19952949523925767,0.19952949523925767
2021-10-01,PR,SUL,6.115,6.313532,-0.19853187561035135,0.19853187561035135
2024-02-01,PI,NORDESTE,5.47,5.666452,-0.1964519309997561,0.1964519309997561
2022-10-01,DF,CENTRO OESTE,5.0,4.805771,0.1942291259765625,0.1942291259765625
2021-09-01,RR,NORTE,5.735,5.928891,-0.19389118194580046,0.19389118194580046
2023-05-01,RS,SUL,5.22,5.4136147,-0.19361474990844751,0.19361474990844751
2025-10-01,MG,SUDESTE,5.97,6.16197,-0.19197013854980494,0.19197013854980494
2021-08-01,PR,SUL,5.689,5.8797426,-0.19074262237548822,0.19074262237548822
2021-07-01,PR,SUL,5.501,5.690858,-0.18985788726806607,0.18985788726806607
2021-11-01,CE,NORDESTE,6.949,6.7594433,0.18955671691894516,0.18955671691894516
2023-11-01,TO,NORTE,5.86,5.671134,0.18886600494384798,0.18886600494384798
2023-11-01,BA,NORDESTE,5.89,5.706913,0.18308700561523406,0.18308700561523406
2024-12-01,RR,NORTE,6.89,6.709452,0.18054784774780241,0.18054784774780241
2021-07-01,SP,SUDESTE,5.474,5.6525717,-0.1785716781616209,0.1785716781616209
2022-03-01,GO,CENTRO OESTE,7.219,7.040989,0.17801107788085968,0.17801107788085968
2024-11-01,PR,SUL,6.21,6.386498,-0.176497974395752,0.176497974395752
2023-09-01,AM,NORTE,6.6,6.424752,0.175247764587402,0.175247764587402
2023-08-01,AM,NORTE,6.4,6.236058,0.16394176483154332,0.16394176483154332
2023-09-01,MT,CENTRO OESTE,5.87,5.708187,0.16181289672851573,0.16181289672851573
2021-07-01,AP,NORTE,5.031,5.188575,-0.15757479095459015,0.15757479095459015
2021-07-01,RR,NORTE,5.475,5.632304,-0.15730419158935582,0.15730419158935582
2022-12-01,MT,CENTRO OESTE,4.99,5.1471305,-0.15713048934936502,0.15713048934936502
2023-02-01,PA,NORTE,4.92,5.0769277,-0.15692766189575202,0.15692766189575202
2021-01-01,TO,NORTE,4.933,4.776592,0.15640822219848616,0.15640822219848616
2023-04-01,RJ,SUDESTE,5.57,5.725914,-0.15591400146484347,0.15591400146484347
2025-04-01,RN,NORDESTE,6.4,6.244922,0.15507783889770543,0.15507783889770543
2023-07-01,SC,SUL,5.78,5.6273746,0.1526253509521487,0.1526253509521487
2023-11-01,AM,NORTE,6.52,6.3708334,0.14916660308837848,0.14916660308837848
2021-12-01,PR,SUL,6.396,6.5443015,-0.14830150985717783,0.14830150985717783
2021-01-01,AM,NORTE,4.519,4.6660748,-0.14707475280761706,0.14707475280761706
2025-10-01,PB,NORDESTE,5.9,6.046197,-0.1461969375610348,0.1461969375610348
2021-05-01,PI,NORDESTE,5.868,5.722103,0.14589688110351595,0.14589688110351595
2025-10-01,RR,NORTE,6.95,6.8041735,0.14582653045654315,0.14582653045654315
