mes_ano,uf,regiao,preco_medio_gasolina_c,volume_gasolina_c_m3,volume_etanol_hidratado_m3,participacao_etanol,variacao_preco_gasolina_c,variacao_volume_gasolina_c,PC1,PC2,distancia_pca
2025-12-01,SP,SUDESTE,6.06,960613.352,952351.808,0.49784064441612724,0.0033112582781456013,0.17724850379904122,7.036377232256827,-3.963883232791371,8.076074221911709
2023-12-01,SP,SUDESTE,5.5,868003.888,902707.043,0.5097992152170207,-0.005424954792043413,0.08577440804057068,7.184856787427246,-3.222651634841144,7.874493673588395
2024-03-01,SP,SUDESTE,5.61,776129.554,894427.795,0.5354068182905585,0.0017857142857145014,0.1357523825709901,7.185874843932202,-2.9556343629376185,7.76997887770844
2024-12-01,SP,SUDESTE,5.96,862121.606,935917.419,0.5205211933595268,0.0033670033670032407,0.07297210286939193,7.140461210771568,-3.0297015052391028,7.756627973119599
2024-10-01,SP,SUDESTE,5.91,817924.757,910112.892,0.5266742264132233,-0.0016891891891891442,0.0895866691423608,7.054899414857628,-2.9584726519474267,7.650108900275821
2025-10-01,SP,SUDESTE,6.05,868881.932,915970.699,0.5131912198750038,-0.0016501650165016146,0.05106584708454798,6.957006865028107,-2.993879059163837,7.573853467089784
2024-05-01,SP,SUDESTE,5.64,786160.773,899239.875,0.5335466531753701,0.001776198934280604,0.015616211702288663,7.033024855359593,-2.597420030578132,7.497334821878661
2022-12-01,SP,SUDESTE,4.87,1035389.209,712257.385,0.40755229772730583,-0.008146639511201648,0.183886629423184,5.456720738603153,-4.982977691949929,7.389578330160144
2025-04-01,SP,SUDESTE,6.15,801767.43,891467.18,0.5264876909172085,-0.0032414910858994395,0.01089828554255834,6.8761665956403855,-2.4747292666142613,7.307937601952951
2022-08-01,SP,SUDESTE,5.28,856526.64,722233.578,0.4574688225390792,-0.09743589743589731,0.09949643820638454,5.663038976367942,-4.568131827581358,7.275839390889843
2024-04-01,SP,SUDESTE,5.63,774072.69,862594.276,0.5270432494328232,0.0035650623885916666,-0.0026501554919529102,6.869061408245379,-2.3773670343993865,7.268829248682
2024-11-01,SP,SUDESTE,5.94,803489.302,880856.038,0.5229664113892464,0.005076142131979822,-0.017648878917599475,6.889205465913406,-2.305719488187507,7.264812062935889
